Filename,Latitude,Longitude,Altitude
Ellesmere_IR_flight01_1000ft_004921.tif,-43.438568100000005,172.2712557,304.8
Ellesmere_IR_flight01_1000ft_004931.tif,-43.438568100000005,172.2712557,304.8
Ellesmere_IR_flight01_1000ft_004941.tif,-43.438568100000005,172.2712557,304.8
Ellesmere_IR_flight01_1000ft_004951.tif,-43.4387715,172.2713965,304.8
Ellesmere_IR_flight01_1000ft_004961.tif,-43.4387715,172.2713965,304.8
Ellesmere_IR_flight01_1000ft_004971.tif,-43.4387715,172.2713965,304.8
Ellesmere_IR_flight01_1000ft_004981.tif,-43.4389748,172.27153890000002,304.8
Ellesmere_IR_flight01_1000ft_004991.tif,-43.4389748,172.27153890000002,304.8
Ellesmere_IR_flight01_1000ft_005001.tif,-43.4389748,172.27153890000002,304.8
Ellesmere_IR_flight01_1000ft_005011.tif,-43.439177900000004,172.271682,304.8
Ellesmere_IR_flight01_1000ft_005021.tif,-43.439177900000004,172.271682,304.8
Ellesmere_IR_flight01_1000ft_005031.tif,-43.4393811,172.27182720000002,304.8
Ellesmere_IR_flight01_1000ft_005041.tif,-43.4393811,172.27182720000002,304.8
Ellesmere_IR_flight01_1000ft_005051.tif,-43.4393811,172.27182720000002,304.8
Ellesmere_IR_flight01_1000ft_005061.tif,-43.439584599999996,172.27197339999998,304.8
Ellesmere_IR_flight01_1000ft_005071.tif,-43.439584599999996,172.27197339999998,304.8
Ellesmere_IR_flight01_1000ft_005081.tif,-43.439584599999996,172.27197339999998,304.8
Ellesmere_IR_flight01_1000ft_005091.tif,-43.4397889,172.2721182,304.8
Ellesmere_IR_flight01_1000ft_005101.tif,-43.4397889,172.2721182,304.8
Ellesmere_IR_flight01_1000ft_005111.tif,-43.4399957,172.2722597,304.8
Ellesmere_IR_flight01_1000ft_005121.tif,-43.4399957,172.2722597,304.8
Ellesmere_IR_flight01_1000ft_005131.tif,-43.4399957,172.2722597,304.8
Ellesmere_IR_flight01_1000ft_005141.tif,-43.4402057,172.27239659999998,304.8
Ellesmere_IR_flight01_1000ft_005151.tif,-43.4402057,172.27239659999998,304.8
Ellesmere_IR_flight01_1000ft_005161.tif,-43.4402057,172.27239659999998,304.8
Ellesmere_IR_flight01_1000ft_005171.tif,-43.4404187,172.2725258,304.8
Ellesmere_IR_flight01_1000ft_005181.tif,-43.4404187,172.2725258,304.8
Ellesmere_IR_flight01_1000ft_005191.tif,-43.4406361,172.2726442,304.8
Ellesmere_IR_flight01_1000ft_005201.tif,-43.4406361,172.2726442,304.8
Ellesmere_IR_flight01_1000ft_005211.tif,-43.4406361,172.2726442,304.8
Ellesmere_IR_flight01_1000ft_005221.tif,-43.4408573,172.272751,304.8
Ellesmere_IR_flight01_1000ft_005231.tif,-43.4408573,172.272751,304.8
